Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-02-27 20:03:20,false,"Running","5.01","321","00:29:37","137","158","2.7","156","159","5:54","5:18","32","37","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:02.58","6","27.0","00:29:36","00:29:37","40","70"
Running,2023-02-24 06:14:47,false,"Running","21.36","1,382","02:00:27","151","174","4.8","163","176","5:38","4:32","101","107","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","No","01:44.04","22","20.0","02:00:19","02:00:27","-5","24"
Running,2023-02-21 20:29:12,false,"Last Mile","4.84","291","00:28:36","128","145","2.4","160","176","5:55","5:01","18","28","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","No","00:02.74","7","26.0","00:28:34","00:28:36","49","73"
Running,2023-02-19 21:35:09,false,"Running","5.01","366","00:29:59","148","169","3.3","156","160","5:59","4:37","32","38","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","16.0","0:00","No","00:02.76","6","24.0","00:29:57","00:29:59","37","70"
Running,2023-02-17 14:19:50,false,"Running","16.01","1,190","01:36:48","152","180","4.9","157","162","6:03","5:12","103","108","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:02.46","17","26.0","01:36:42","01:36:48","38","71"
Running,2023-02-14 14:01:29,false,"Miles Repeats","12.88","873","01:18:02","145","167","3.6","162","184","6:04","4:52","64","64","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:02.68","17","26.0","01:17:57","01:18:02","70","84"
Running,2023-02-13 13:40:13,false,"Running","5.01","270","00:29:56","122","141","2.0","160","162","5:59","5:09","44","44","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:01.75","6","25.0","00:29:53","00:29:56","45","77"
Running,2023-02-10 13:56:14,false,"Running","21.02","1,543","02:13:30","153","179","4.1","153","160","6:21","4:41","138","143","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:06.60","22","27.0","02:13:15","02:13:30","39","72"
Running,2023-02-09 14:20:44,false,"Tempo Run","11.27","807","01:03:38","158","186","4.5","165","174","5:39","4:47","55","58","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","18.0","0:00","No","00:01.06","14","26.0","01:03:33","01:03:40","68","80"
Running,2023-02-07 13:06:09,false,"Running","5.02","387","00:31:05","152","172","3.4","156","162","6:11","5:28","38","42","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:08.58","6","24.0","00:31:04","00:31:05","42","74"
